N_modes,N_F,N_M,mean_error,std_error,mean_time,mean_iters,count
1,5,1,0.013439776374500001,0.03582910785969945,6.1669,642.5,10
1,5,2,0.0212157940441,0.048355520700831406,6.6108,663.4,10
1,5,3,0.010990306787,0.01682428511880348,7.692400000000001,681.4,10
1,5,4,0.06920973088,0.17706404171794193,9.9496,737.5,10
1,5,5,0.005780099950000001,0.010386323182283691,11.0198,789.9,10
1,5,6,0.01763128315,0.017233808973333823,8.430299999999999,549.5,10
1,5,7,0.0164213758,0.01519454009810785,11.173399999999999,640.7,10
1,5,8,0.02884190935,0.05233806879071274,10.8136,623.0,10
1,5,9,0.0324303092,0.043172341652136806,12.410599999999999,547.5,10
1,5,10,0.6376676493,1.96123204539904,13.165899999999999,581.5,10
1,5,11,0.12818109239,0.3534083137189226,16.843799999999998,711.9,10
1,5,12,0.01244449044,0.013004698189205731,10.860800000000001,479.8,10
1,5,13,0.0370617365,0.049653778489110484,15.3854,571.1,10
1,5,14,0.0656656621,0.06133950436583151,19.3307,638.6,10
1,5,15,0.050273821600000004,0.07416371117322818,12.3155,450.1,10
1,5,16,0.0369831112,0.040295276906732846,27.7144,757.7,10
1,5,17,0.0423706551,0.039146613232600935,28.590300000000003,830.4,10
1,5,18,0.07416453110000001,0.07507441262085533,16.2862,538.8,10
1,5,19,0.0568852529,0.06350318426250813,16.3096,471.5,10
1,5,20,0.0856146379,0.08942091156982684,28.734,628.8,10
1,6,1,0.0059310970699000005,0.013486659484495012,8.8216,805.4,10
1,6,2,0.9848208163840001,3.097133391152728,10.755799999999999,831.1,10
1,6,3,0.01023430383,0.013525455542541026,7.1882,652.5,10
1,6,4,0.001628269463,0.0024700074363896204,11.879900000000001,815.5,10
1,6,5,0.034779268210000006,0.07801831148377587,9.7203,604.4,10
1,6,6,0.019274733,0.0288984794816408,10.5799,646.0,10
1,6,7,0.0095233703,0.012628390165856753,15.7452,808.8,10
1,6,8,0.06242337729999999,0.15551613344519552,13.5947,627.5,10
1,6,9,0.035731063,0.04169275100223359,13.830000000000002,659.9,10
1,6,10,0.0173895985,0.015565372534586978,15.216399999999998,598.0,10
1,6,11,0.0309521388,0.04448804282762373,17.576,701.5,10
1,6,12,0.0655456797,0.12000511642589813,12.3818,448.2,10
1,6,13,0.01075755172,0.008165112079737254,26.863400000000002,911.4,10
1,6,14,0.018915115000000003,0.02230075074044346,24.5702,771.5,10
1,6,15,0.15501247189999998,0.41121426728996624,17.0249,540.4,10
1,6,16,0.06484861950000001,0.1023005374874488,16.313200000000002,530.5,10
1,6,17,0.11941601580000001,0.24850105496234132,24.0584,578.8,10
1,6,18,0.0331089599,0.03524832460162056,22.040699999999998,585.8,10
1,6,19,0.041444460100000004,0.04833575380077809,23.058799999999998,556.2,10
1,6,20,1.8457614331999999,5.498915013775263,26.4361,560.8,10
1,7,1,0.0006572228699000001,0.0011289001715632505,11.5939,877.7,10
1,7,2,0.0137438957038,0.026939826668911968,12.2148,908.9,10
1,7,3,0.0022208153292000003,0.0025910898151244224,14.703399999999998,943.4,10
1,7,4,0.005308610392,0.0065827644344113,10.241,597.9,10
1,7,5,0.014814293749999999,0.03081650007029774,9.8047,602.4,10
1,7,6,0.021081937000000002,0.03407132911320443,9.5633,514.6,10
1,7,7,0.04330987946,0.07705191648793011,11.8192,600.3,10
1,7,8,0.00851226802,0.006729140443161856,10.4876,511.4,10
1,7,9,0.2130320576,0.40814978374767547,15.8703,578.3,10
1,7,10,0.038218568249999994,0.0758000239818665,17.4623,670.6,10
1,7,11,0.0172408861,0.024871252517479528,15.216899999999999,594.1,10
1,7,12,0.03376722829999999,0.04269294792969151,15.541900000000002,501.2,10
1,7,13,0.04372215895,0.053366946708073286,29.313599999999997,888.5,10
1,7,14,0.025219138800000002,0.032666161075224354,21.2482,613.1,10
1,7,15,0.0622472518,0.08808992062298729,22.602700000000002,638.4,10
1,7,16,0.16262197713999998,0.47836690285840866,17.1729,509.1,10
1,7,17,0.08294531549999999,0.16896358772079778,23.4514,582.3,10
1,7,18,0.1388697505,0.29879588394560863,25.1959,572.3,10
1,7,19,0.0808390713,0.15883911617278842,26.209600000000002,541.8,10
1,7,20,0.0440867033,0.045119629062787166,27.2038,575.2,10
1,8,1,9.030650083999999e-05,0.00010692195979827345,23.4778,1589.4,10
1,8,2,0.0014394531468999998,0.001883562518196805,18.0523,1056.6,10
1,8,3,0.0027548872569999995,0.0062463630975260415,16.1099,927.3,10
1,8,4,0.012182167325,0.020989739942949122,12.259,683.2,10
1,8,5,0.02496911864,0.06990940065942369,14.1675,675.7,10
1,8,6,0.00580949279,0.011478659170529105,16.189600000000002,706.8,10
1,8,7,0.00423321994,0.003625367614328853,11.4919,508.4,10
1,8,8,0.0260499186,0.04132474242854314,7.616200000000001,438.2,10
1,8,9,0.0866217185,0.0938154478152837,13.6857,525.8,10
1,8,10,0.01940936959,0.0313828801079416,18.7191,627.6,10
1,8,11,0.02217038575,0.0296841042906459,15.9986,605.1,10
1,8,12,0.00818265086,0.01746455846830676,30.051499999999997,890.7,10
1,8,13,0.025383724099999998,0.026298936847529767,19.592599999999997,563.5,10
1,8,14,0.0328294906,0.06436637244688852,23.8422,652.2,10
1,8,15,0.022645622,0.03462962917401137,27.2067,728.6,10
1,8,16,0.0154699189,0.0126034012439551,22.8359,592.3,10
1,8,17,0.0829624836,0.11349554992327583,23.042700000000004,621.5,10
1,8,18,0.055791345400000004,0.09523561087581925,30.611400000000003,685.3,10
1,8,19,0.0430882598,0.05094503644181052,29.5511,591.1,10
1,8,20,0.044879677890000004,0.07194758781672031,31.996199999999998,660.6,10
1,9,1,0.0002119173343,0.00024300057731334952,16.6635,1088.0,10
1,9,2,0.0008298217970000001,0.000711982262857504,12.3405,727.3,10
1,9,3,0.0018790060846699999,0.0030796101045966256,15.216,787.7,10
1,9,4,0.001300267102,0.0015411466235115553,16.4704,874.6,10
1,9,5,0.00247614519,0.0022286273554880573,14.4398,648.3,10
1,9,6,0.009220519469999999,0.010039709420737633,15.101499999999998,694.2,10
1,9,7,0.01295311687,0.01907202868326314,24.8989,920.7,10
1,9,8,0.008625690609999999,0.015410781055577454,22.5462,823.3,10
1,9,9,0.0078977541,0.0060352656077051064,19.8336,634.5,10
1,9,10,0.02100552022,0.02480534730514596,22.7073,677.4,10
1,9,11,0.01914214656,0.047699364564534344,27.619400000000002,868.7,10
1,9,12,0.0341013903,0.05989667097675194,30.103700000000003,795.4,10
1,9,13,0.029927244532,0.04882185399913284,28.789300000000004,820.9,10
1,9,14,0.01981799192,0.0420566996052325,23.6588,643.4,10
1,9,15,0.019331035899999998,0.020677447595787785,24.768,568.2,10
1,9,16,0.016508904999999997,0.02136080065578034,28.2389,708.1,10
1,9,17,0.023281695499999998,0.02088753422198536,21.7945,509.6,10
1,9,18,0.0208747097,0.03746457495274697,30.061400000000003,568.1,10
1,9,19,0.0217890322,0.02116128297806185,31.9005,719.6,10
1,9,20,0.0439540888,0.04294744671106799,33.8439,692.4,10
1,10,1,0.0007341962260000001,0.0021958014981803965,29.7569,1654.4,10
1,10,2,0.0007536051999000001,0.0012582844915248095,15.437700000000001,882.9,10
1,10,3,0.011825694606000001,0.02795472036605612,13.3055,621.8,10
1,10,4,0.000868467203,0.0011984228841360328,12.5322,639.6,10
1,10,5,0.00461008796,0.005258328305186816,15.4238,716.5,10
1,10,6,0.005212714193,0.00735710873475214,24.2797,981.3,10
1,10,7,0.006291222019999999,0.009036441467159052,19.894299999999998,720.9,10
1,10,8,0.004872608395,0.006737788186247956,21.2114,741.6,10
1,10,9,0.01754894964,0.029688871452892,16.0423,535.5,10
1,10,10,0.027161101599999998,0.04156650846459635,19.2683,535.6,10
1,10,11,0.011863781600000001,0.009722889621586479,19.292099999999998,517.5,10
1,10,12,0.02151467822,0.0343357202619462,25.4757,722.0,10
1,10,13,0.032182016800000005,0.07236068938622482,25.984199999999998,672.5,10
1,10,14,0.011001676089999999,0.00852169853948689,23.470599999999997,546.3,10
1,10,15,0.01796896417,0.0321777466473058,24.3726,608.7,10
1,10,16,0.03273055912,0.04959728766726618,36.975,797.9,10
1,10,17,0.0267056525,0.030273389650877273,34.6996,644.2,10
1,10,18,0.0548489166,0.07347479137025789,27.8551,582.1,10
1,10,19,0.0298297658,0.03606314952723289,24.2017,514.4,10
1,10,20,0.03867044181,0.05196106511421753,39.8005,641.6,10
1,11,1,0.00037588906948,0.0008360493691243128,23.3245,1220.2,10
1,11,2,0.0033037307811000006,0.006922558295770843,25.2114,1229.7,10
1,11,3,0.003092102088,0.0037866310285649663,19.4353,881.3,10
1,11,4,0.0005701715650000001,0.0011520887131951914,31.064999999999998,1249.8,10
1,11,5,0.00273431361,0.00165886587090531,23.212200000000003,910.7,10
1,11,6,0.00341608122,0.0031163659012511643,20.027099999999997,703.6,10
1,11,7,0.0906091116522,0.19143687748091032,21.499299999999998,766.9,10
1,11,8,0.00570111117,0.0063948968728588,17.2957,622.2,10
1,11,9,0.02371909156,0.050717104891138585,18.6727,580.8,10
1,11,10,0.00813153404,0.01020976360224322,19.5628,595.1,10
1,11,11,0.0032043962500000003,0.003508311141679515,36.0114,969.3,10
1,11,12,0.01660243048,0.02730411169508343,18.519299999999998,526.5,10
1,11,13,0.03330578988,0.03915306675292098,33.188599999999994,751.2,10
1,11,14,0.01547954258,0.02442528877692472,34.9062,725.0,10
1,11,15,0.016100542500000002,0.014491444633526257,24.5984,550.9,10
1,11,16,0.02943583387,0.041097538698741914,27.8408,593.0,10
1,11,17,0.1312408309,0.2384014722341921,20.7531,474.7,10
1,11,18,0.040634120600000004,0.06682118483738125,37.0538,669.1,10
1,11,19,0.01941050724,0.017162441780989853,42.7098,700.2,10
1,11,20,0.0074548844,0.004627316008532043,34.298500000000004,537.1,10
1,12,1,0.0006354541097,0.0012282226737894606,35.5033,1682.1,10
1,12,2,0.000991322769,0.0014900207300497172,21.1494,1017.1,10
1,12,3,0.0009531602329999999,0.0011610092371709113,21.713,983.1,10
1,12,4,0.0033990718769999996,0.0035378828001486696,16.814500000000002,675.2,10
1,12,5,0.00616508848,0.0074269845277198515,18.4575,667.5,10
1,12,6,0.0069877108499999995,0.016008946970943898,24.5568,748.9,10
1,12,7,0.007365158700000001,0.010703058922860637,21.4718,742.5,10
1,12,8,0.00594731154,0.004706323747495809,22.8915,672.4,10
1,12,9,0.00616107857,0.007014902157876631,22.5308,682.7,10
1,12,10,0.01182609295,0.01204194571351174,28.4666,674.0,10
1,12,11,0.021438200770000002,0.024376644588522078,24.854599999999998,596.1,10
1,12,12,0.0075662483,0.0055325545159280835,20.9803,593.8,10
1,12,13,0.0125379449,0.010445368376208316,28.5697,653.1,10
1,12,14,0.015528281,0.029916797305970494,25.4078,567.8,10
1,12,15,0.01021782941,0.014860021456183366,33.4756,728.1,10
1,12,16,0.00615444647,0.007594822502539734,32.955,700.0,10
1,12,17,0.01461038859,0.018291623711788736,44.5081,807.1,10
1,12,18,0.009901826610000001,0.012153352710938405,45.5609,830.1,10
1,12,19,0.009839339190000001,0.009862393410157114,33.246500000000005,588.7,10
1,12,20,0.0217849913,0.017240954934218723,35.1429,562.6,10
1,13,1,6.446217644e-05,0.00017923283164742801,37.9773,1665.5,10
1,13,2,0.001937140835,0.0026116946694111107,19.1609,840.0,10
1,13,3,0.006158790783000001,0.01365222948723531,22.8001,865.1,10
1,13,4,0.016522180775,0.039424152463681306,15.8507,602.1,10
1,13,5,0.0045618985699999995,0.006559844393259441,27.4657,942.8,10
1,13,6,0.006085110793,0.0073766168418380774,23.7041,730.0,10
1,13,7,0.005926771239999999,0.007214366118317548,19.6746,611.0,10
1,13,8,0.01654695003,0.026851709609053604,21.3656,639.7,10
1,13,9,0.00427541139,0.007306815152466366,25.2334,665.9,10
1,13,10,0.003980170470000001,0.0031844435713385866,22.0667,619.8,10
1,13,11,0.021255004190000003,0.05618944220795344,17.2581,513.4,10
1,13,12,0.00795558168,0.009696522020942048,24.366,549.7,10
1,13,13,0.0118160959,0.02280835326098871,25.6603,594.8,10
1,13,14,0.010264237820000001,0.015595394996214774,24.7003,527.6,10
1,13,15,0.0230733093,0.03170176946445196,32.5045,574.8,10
1,13,16,0.00830324671,0.012570357091287747,36.684,710.2,10
1,13,17,0.01193698927,0.015514175382451006,36.596,629.8,10
1,13,18,0.0220181281,0.014969105754555595,46.338499999999996,758.5,10
1,13,19,0.01209755491,0.018046136314481005,42.186400000000006,720.2,10
1,13,20,0.053568252799999994,0.08507347746422946,31.605200000000004,475.1,10
1,14,1,0.0006165795504,0.0017107351556106655,31.535000000000004,1319.7,10
1,14,2,0.0016329186644000002,0.0034602720667012378,32.4159,1184.8,10
1,14,3,0.0016836711609999999,0.002781966900722902,30.5049,1099.4,10
1,14,4,0.0013728275790000001,0.0019388193703591438,19.7221,699.1,10
1,14,5,0.0046168996409999994,0.006092942625197476,24.6423,787.7,10
1,14,6,0.006353878911000001,0.016845911647825205,36.4162,1109.4,10
1,14,7,0.018343427829,0.036013418148376664,27.623400000000004,800.7,10
1,14,8,0.0156427012,0.0337357148223617,21.812199999999997,633.6,10
1,14,9,0.006929976440000001,0.008244470685442358,38.753,907.9,10
1,14,10,0.0030814875700000003,0.003851419699570991,43.681599999999996,980.8,10
1,14,11,0.011508308,0.015387048185112506,26.5702,552.2,10
1,14,12,0.0065501531,0.005947511330824654,35.5478,691.0,10
1,14,13,0.0075292756099999995,0.00514301944360081,24.249000000000002,531.9,10
1,14,14,0.06116833175999999,0.13394817595215147,44.2,830.2,10
1,14,15,0.00538112843,0.006084275514693118,37.5372,723.0,10
1,14,16,0.0171328596,0.022756759056208047,34.2671,602.1,10
1,14,17,0.04325320414,0.07227362327430631,43.9049,726.4,10
1,14,18,0.0250011915,0.05269466603006197,38.4963,592.6,10
1,14,19,0.0057845106700000004,0.006925604951129578,50.2247,761.3,10
1,14,20,0.02000200769,0.03711403419947216,34.9662,544.1,10
1,15,1,0.0005312764073,0.001365080446222635,35.9394,1355.2,10
1,15,2,0.000337483873,0.00068880034363223,35.511,1241.7,10
1,15,3,0.0038347631186,0.008421134270217293,22.27,773.3,10
1,15,4,0.004021189491,0.005357822468889366,26.743299999999998,896.5,10
1,15,5,0.0024281238805,0.003132918719960618,36.7318,1131.4,10
1,15,6,0.00103823358,0.001462880736963092,25.995799999999996,793.6,10
1,15,7,0.01189051309,0.01964602112888644,23.3363,553.7,10
1,15,8,0.0036544723299999997,0.0052697909048955455,29.2774,731.7,10
1,15,9,0.009365131070000001,0.020386647682173693,25.526,590.2,10
1,15,10,0.029643328349999998,0.06529770753351627,26.2793,576.4,10
1,15,11,0.0029290277,0.002432013523303947,35.6049,712.8,10
1,15,12,0.0071816827779999995,0.012165367765729462,34.133799999999994,695.9,10
1,15,13,0.01257448156,0.024553207112812257,38.5539,697.0,10
1,15,14,0.04533667417,0.06929725868517976,41.0113,684.2,10
1,15,15,0.010465289110000001,0.011197081785251964,43.6263,767.1,10
1,15,16,0.00480124256,0.005977153111936753,48.256299999999996,725.8,10
1,15,17,0.0160437041,0.017946181352530243,36.3598,515.2,10
1,15,18,0.02832636498,0.03610799747243936,36.560500000000005,504.2,10
1,15,19,0.0167414163,0.017493716478333216,51.468399999999995,717.6,10
1,15,20,0.014975585699999999,0.01722556250494595,50.031,694.6,10
1,16,1,0.00047446479668000004,0.0013299480825671457,37.7641,1325.4,10
1,16,2,0.0007395761913,0.0018231681783045552,34.1134,1168.3,10
1,16,3,0.0016419601669999998,0.0026009425238391424,34.386700000000005,1062.4,10
1,16,4,0.0018258079110999997,0.003352504668549288,28.293200000000002,863.4,10
1,16,5,0.0029825272400000004,0.0025903376172603625,29.443600000000004,853.3,10
1,16,6,0.0027359854345,0.004522443039769499,31.2486,790.2,10
1,16,7,0.0038020603040000004,0.004201960032610061,29.6806,694.1,10
1,16,8,0.0061625981199999996,0.005738035250548527,26.333199999999998,601.9,10
1,16,9,0.002891089038,0.002909082268863301,35.4622,775.1,10
1,16,10,0.008642760170000001,0.012664171845177352,39.334199999999996,806.1,10
1,16,11,0.00331184664,0.0021992121474557927,37.6736,755.6,10
1,16,12,0.00557197718,0.00723931594591059,33.5959,622.6,10
1,16,13,0.013903889999999999,0.014644022054298872,33.4034,577.6,10
1,16,14,0.0190083424,0.019996927683579482,44.33819999999999,728.1,10
1,16,15,0.00464385096,0.0028476078392297892,45.236900000000006,700.3,10
1,16,16,0.01189049511,0.017204768032253268,44.268299999999996,741.3,10
1,16,17,0.013058386929999999,0.017094502733577755,44.5173,664.2,10
1,16,18,0.008129596999999999,0.006318041929179341,58.4169,877.6,10
1,16,19,0.018949665730000002,0.030417346715461216,44.6901,640.2,10
1,16,20,0.02920502318,0.055524313708138553,57.6496,768.5,10
1,17,1,0.0015868875761,0.004543261677317217,48.7907,1612.5,10
1,17,2,0.0012994328375,0.0019724140891933697,25.8693,870.5,10
1,17,3,0.003675502377,0.005084968669572771,31.0459,844.7,10
1,17,4,0.0013373322615000001,0.0019045590917049302,45.1868,1188.7,10
1,17,5,0.001439344161,0.0023175120958376294,43.848400000000005,1101.6,10
1,17,6,0.003625053465,0.007460781452927602,34.668,856.8,10
1,17,7,0.00406665253,0.0053165237286732624,27.3119,688.0,10
1,17,8,0.00252577787,0.0017245299836177665,28.2344,626.6,10
1,17,9,0.026685767309999997,0.05762790506942004,30.620600000000003,658.2,10
1,17,10,0.00782921457,0.015582456068476221,36.6043,690.3,10
1,17,11,0.0116196371,0.013121921890817387,31.768099999999997,666.9,10
1,17,12,0.013823394167,0.025471652750990965,35.569399999999995,689.1,10
1,17,13,0.01983014226,0.028538088541090672,32.1996,599.5,10
1,17,14,0.01259914577,0.015734953917627224,36.999900000000004,600.9,10
1,17,15,0.01094988765,0.01261604214377844,43.7384,662.0,10
1,17,16,0.026433009860000002,0.06328999060475733,35.0667,547.4,10
1,17,17,0.02830168757,0.03914151964761198,58.25350000000001,825.8,10
1,17,18,0.012734220899999999,0.012859761678508271,43.0667,629.7,10
1,17,19,0.0470087051,0.11209853347613745,46.9327,563.5,10
1,17,20,0.05294035539999999,0.09713406268129406,46.9556,573.3,10
1,18,1,0.0017297314114000002,0.003282007277338629,45.6936,1385.6,10
1,18,2,0.0005691459617,0.0013839021025557905,50.7418,1462.8,10
1,18,3,0.0014987940893,0.003382460188621803,52.7675,1455.7,10
1,18,4,0.016223273489,0.04721012208034737,26.988,676.9,10
1,18,5,0.00406226956,0.004741569201219595,27.646799999999995,664.9,10
1,18,6,0.023487391759999997,0.04514619338298632,28.7529,644.6,10
1,18,7,0.004943737751,0.009576600914409636,41.3287,906.3,10
1,18,8,0.003093560056,0.00488850492674436,40.537099999999995,862.5,10
1,18,9,0.007457320263,0.00860060758091316,29.881700000000002,639.7,10
1,18,10,0.006895027230000001,0.007452291887553933,29.7686,530.5,10
1,18,11,0.02647007078,0.039868106466442156,40.5355,648.0,10
1,18,12,0.0034196498300000005,0.0031834323483766287,62.7316,1083.0,10
1,18,13,0.00907435641,0.01027400207114421,55.908100000000005,849.0,10
1,18,14,0.00396539349,0.004813825953430425,52.4458,779.9,10
1,18,15,0.027124434819999998,0.04141982592863768,52.65,788.1,10
1,18,16,0.05232245689,0.14282309913401775,37.7625,589.4,10
1,18,17,0.015067723520000001,0.019774172708533766,53.62760000000001,758.6,10
1,18,18,0.0061090285000000005,0.0043083554440504785,43.211400000000005,607.0,10
1,18,19,0.004231418539999999,0.004159099839497611,52.89549999999999,662.3,10
1,18,20,0.01044665105,0.012776115132781887,50.4423,695.7,10
1,19,1,0.0002030347055,0.0006144303867173052,56.3072,1645.2,10
1,19,2,0.00279828062693,0.004692507587628911,35.8069,1010.3,10
1,19,3,0.0024161667576,0.003197922613188332,34.5332,950.9,10
1,19,4,0.002494688116,0.00291286015179428,28.881600000000002,745.2,10
1,19,5,0.003546104657,0.006586496615927108,34.472500000000004,834.5,10
1,19,6,0.001964962666,0.0024423950758250853,33.8874,760.0,10
1,19,7,0.00377630282,0.006323314765346444,47.638400000000004,973.4,10
1,19,8,0.0049936958160000005,0.007764188140412461,28.9454,634.0,10
1,19,9,0.003239665096,0.004698507210709214,47.8445,853.8,10
1,19,10,0.025230707637,0.04297007287761014,34.495400000000004,625.3,10
1,19,11,0.03449650973,0.07924592740061408,38.3776,715.2,10
1,19,12,0.004380957709999999,0.004448288818718515,42.697199999999995,702.6,10
1,19,13,0.01214308655,0.015897930695488147,55.479499999999994,866.7,10
1,19,14,0.01194710856,0.022558057928680226,40.3168,640.6,10
1,19,15,0.0046344137,0.003144203833638124,54.7461,793.8,10
1,19,16,0.01982713777,0.035103961080035925,66.9096,849.3,10
1,19,17,0.019757624844000003,0.033748405908187305,60.82469999999999,869.6,10
1,19,18,0.0388729246,0.06815506278319174,42.2842,515.4,10
1,19,19,0.02148528362,0.02885222446156249,38.7008,529.0,10
1,19,20,0.03437752434,0.04180968623938531,50.0262,547.5,10
1,20,1,0.0005806270975,0.0017702277199668935,61.60799999999999,1691.5,10
1,20,2,0.0005140104926,0.001040723762053878,44.3378,1243.5,10
1,20,3,0.0011121747086,0.00138919947266895,33.1057,858.0,10
1,20,4,0.0035570346234999996,0.006670306679064846,40.7379,979.4,10
1,20,5,0.011606396439,0.016895952600790437,41.588,891.2,10
1,20,6,0.0014685074744,0.0018480381594177695,46.9718,973.5,10
1,20,7,0.00538705705,0.006437522462766929,33.9405,687.1,10
1,20,8,0.004652804493,0.006001128040692723,36.0157,723.6,10
1,20,9,0.0038596298750000002,0.006559711029636791,57.141,992.8,10
1,20,10,0.00519210508,0.008705266302240345,51.828599999999994,865.6,10
1,20,11,0.004943174212000001,0.010865647555058904,58.2623,930.7,10
1,20,12,0.00894599387,0.01313082850060692,37.5218,614.6,10
1,20,13,0.00981067071,0.010652229189853847,42.2747,655.4,10
1,20,14,0.04225404707,0.0953465414769299,61.5545,811.7,10
1,20,15,0.0055767453799999995,0.005504312567900765,44.4234,636.6,10
1,20,16,0.010887464,0.01470598852759049,42.3729,584.8,10
1,20,17,0.005658699,0.005656380479446692,75.1165,872.7,10
1,20,18,0.04372321999999999,0.1108521574091319,46.1149,562.7,10
